person,job,position
"Kasim Kutay","Chief Executive Officer, Novo Holdings, Denmark","Level 2Senior Executive"
"Peter Lacy","Senior Managing Director, Accenture, United Kingdom","Level 2Senior Executive"
"Jean-Christophe Laloux","Director-General, Lending Operations, European Investment Bank, Luxembourg","Level 2Senior Executive"
"Gordana Landen","Chief Human Resources Officer, Adecco Group, Switzerland","Level 2Senior Executive"
"Justin Koo-yung Lee","Chief Executive Officer, Hanwha Chemical, Republic of Korea","Level 2Senior Executive"
"Lee Yong-Gyoo","Senior Vice-President, KT (Korea Telecom), Republic of Korea","Level 2Senior Executive"
"John Markus Lervik","Chief Executive Officer, Cognite, Norway","Level 2Senior Executive"
"Bernd Leukert","Member of the Management Board, Chief Technology, Data and Innovation Officer, Deutsche Bank, Germany","Level 2Senior Executive"
"Matthew Levin","Chief Strategy Officer, Automatic Data Processing (ADP), USA","Level 2Senior Executive"
"Li Pengcheng","Vice-President, Mengniu Group, People's Republic of China","Level 2Senior Executive"
"Susy Liang","Head, Global External Relation Policy-Making, Hitachi, Japan","Level 2Senior Executive"
"Liao Jianwen","Chief Strategy Officer, JD.COM, People's Republic of China","Level 2Senior Executive"
"Michael Lightfoot","Chief Corporate Affairs Officer, LeasePlan, Netherlands","Level 2Senior Executive"
"Robert Lightfoot","Vice-President, Strategy and Business Development, Lockheed Martin, USA","Level 2Senior Executive"
"Stephanie Linnartz","Group President, Consumer Operations, Technology and Emerging Businesses, Marriott International, USA","Level 2Senior Executive"
"Liu Bicheng","Senior Vice-President, Deppon Logistics, People's Republic of China","Level 2Senior Executive"
"Liu Qian","Managing Director, Greater China, Economist Group, United Kingdom","Level 2Senior Executive"
"Liu Xiao","Partner, Beijing Vanke, People's Republic of China","Level 2Senior Executive"
"Andrew Lo","Chief Executive, Asia-Pacific Operations, Invesco Asia, Hong Kong SAR, China","Level 2Senior Executive"
"Peter Lochbihler","Global Director, Public Affairs, Booking.com, Netherlands","Level 2Senior Executive"
"David Loew","Executive Vice-President",""
"Amit Lohia","Director, Indorama Ventures, Thailand","Level 2Senior Executive"
"Rachel Lord","Senior Managing Director",""
"Margarita Louis-Dreyfus","Chairperson of the Supervisory Board, Louis Dreyfus Group, Switzerland","Level 2Senior Executive"
"Christian Lucas","Co-Head, Europe, Middle East and Africa, Silver Lake, United Kingdom","Level 2Senior Executive"
"Dave Luken","Chief Executive Officer, Skidata - Kudelski Group, Austria","Level 2Senior Executive"
"Andrónico Luksic","Vice-President, Corporate Development, Antofagasta Minerals, Chile","Level 2Senior Executive"
"Davor Luksic","Chairman, Excelsa, Croatia","Level 2Senior Executive"
"Kathleen Lynch","Vice-President, Global Government Affairs and Public Policy, Illumina, USA","Level 2Senior Executive"
"Karen Lynch","Executive Vice-President, CVS Health",""
"Elie Maalouf","Chief Executive Officer, Americas, InterContinental Hotels Group, USA","Level 2Senior Executive"
"Kevan Mabbutt","Senior Vice-President and Chief Consumer Officer, Intermountain Healthcare, USA","Level 2Senior Executive"
"Osvaldo Macaia","Member of the Board of Directors, Sonangol, Angola","Level 2Senior Executive"
"Manny Maceda","Worldwide Managing Partner, Bain & Company, USA","Level 2Senior Executive"
"Jongisa Magagula","Director, Investor Relations and Corporate Development, African Rainbow Minerals, South Africa","Level 2Senior Executive"
"Phuthi Mahanyele-Dabengwa","Chief Executive Officer, South Africa, Naspers, South Africa","Level 2Senior Executive"
"Mohammed Mahomedy","Acting Chief Executive Officer, Transnet, South Africa","Level 2Senior Executive"
"Trish Malarkey","Chief Innovation Officer, Royal DSM, Netherlands","Level 2Senior Executive"
"Paul Manduca","Chairman, Prudential, United Kingdom","Level 2Senior Executive"
"Prasanth Manghat","Chief Executive Officer, NMC Healthcare, United Arab Emirates","Level 2Senior Executive"
"Thulisile Manzini","Chief Executive Officer, Brand South Africa, South Africa","Level 2Senior Executive"
"Demetrios Marantis","Senior Vice-President",""
"David Marcus","Head, Calibra, USA","Level 2Senior Executive"
"Jacko Maree","Chairman, Liberty Holdings, South Africa","Level 2Senior Executive"
"Ricardo Marek","President, Emerging Markets, Takeda Pharmaceuticals (Asia Pacific), Singapore","Level 2Senior Executive"
"Dr. John Markels","President, Global Vaccines, MSD, USA","Level 2Senior Executive"
"Alison Martin","Chief Executive Officer, Europe, Middle East and Africa, and Bank Distribution, Zurich Insurance Group, Switzerland","Level 2Senior Executive"
"Geraldine Matchett","Chief Financial Officer, Royal DSM, Netherlands","Level 2Senior Executive"
"Rafael Mateo","Chief Executive Officer, Energy, Acciona, Spain","Level 2Senior Executive"
"Richard Mattison","Chief Executive Officer, Trucost, United Kingdom","Level 2Senior Executive"
"Skyler Mattson","President, Wongdoody, USA","Level 2Senior Executive"
"Eugene Mayne","Group Chief Executive, Tristar Transport, United Arab Emirates","Level 2Senior Executive"
"Heather McDevitt","Partner and Member of the Executive Committee, White & Case, USA","Level 2Senior Executive"
"Kelly McGinnis","Senior Vice-President and Chief Communications Officer, Levi Strauss & Co., USA","Level 2Senior Executive"
"Judith McKenna","President and Chief Executive Officer, International, Walmart, USA","Level 2Senior Executive"
"Matthew McKnight","Chief Commercial Officer, Ginkgo Bioworks, USA","Level 2Senior Executive"
"Karen McLoughlin","Chief Financial Officer, Cognizant, USA","Level 2Senior Executive"
"Stephen Meahl","Chief Operating Officer, Strategy and Communications Advisory, Teneo, USA","Level 2Senior Executive"
"Stella Medlicott","Senior Vice-President"," Head, Group Marketing and Corporate Relations Function, Ericsson, United Kingdom"
"Maria Medvedeva","Deputy Chief Executive Officer, External Communications, Russian Direct Investment Fund, Russian Federation","Level 2Senior Executive"
"Larry Meixner","Managing Corporate Executive Officer, Chief Innovation Officer, Chief Technology Officer, Mitsubishi Chemical Holdings, Japan","Level 2Senior Executive"
"Anil Menon","Managing Director",""
"Tony Milikin","Chief Procurement and Sustainability Officer, Anheuser-Busch InBev, USA","Level 2Senior Executive"
"Jerry Miller","President, Guggenheim Investments, Guggenheim Partners, USA","Level 2Senior Executive"
"Mikhael Mirilashvili","President, Watergen, Israel","Level 2Senior Executive"
"Shankh Mitra","Executive Vice-President, Chief Investment Officer, Welltower, USA","Level 2Senior Executive"
"Aditya Mittal","Chief Executive Officer, Europe",""
"Rajan Bharti Mittal","Vice-Chairman, Bharti Enterprises, India","Level 2Senior Executive"
"Osamu Mogi","Director"," General Manager, International Operations, Kikkoman, Japan"
"Alisha Moopen","Deputy Managing Director, Aster DM Healthcare, United Arab Emirates","Level 2Senior Executive"
"Thomas M. Moriarty","Executive Vice-President"," General Counsel, CVS Health, USA"
"Mohammed Mudarris","Head of EMEA Business, Canyon Partners, USA","Level 2Senior Executive"
"Oleg Mukhamedshin","Deputy Chief Executive Officer",""
"Neil Murray","Chief Executive Officer, Corporate Solutions, JLL, USA","Level 2Senior Executive"
"Mohamed Althaf Musliam","Director, Lulu Group International, Qatar","Level 2Senior Executive"
"Philip Myers","Senior Vice-President, Global Public Policy and Government Affairs, PepsiCo, USA","Level 2Senior Executive"
"Penelope Naas","Senior Vice-President, International Public Affairs and Sustainability, UPS Europe, Belgium","Level 2Senior Executive"
"Kazumasa Nagayama","Vice-President",""
"Sandeep A. Naik","Managing Director, General Atlantic, India","Level 2Senior Executive"
"Leena Nair","Chief Human Resources Officer, Unilever, United Kingdom","Level 2Senior Executive"
"Keisuke Naito","Vice-President, Chief Digital Officer, Dementia Total Inclusive Ecosystem, Eisai, Japan","Level 2Senior Executive"
"Thachat Viswanath Narendran","Chief Executive Officer and Managing Director, Tata Steel, Tata Sons, India","Level 2Senior Executive"
"Elshad Nasirov","Vice-President, SOCAR (State Oil Company of the Azerbaijan Republic), Azerbaijan","Level 2Senior Executive"
"Salim Nathoo","Equity Partner",""
"Amit Nayyar","President, Paytm, India","Level 2Senior Executive"
"Sanjay Nazerali","Chief Development and Strategy Officer, Dentsu Aegis Network, United Kingdom","Level 2Senior Executive"
"Max Neukirchen","Global Head, Strategy, JP Morgan, USA","Level 2Senior Executive"
"Sylvie Nicol","Executive Vice-President, Human Resources and Infrastructure Services, Henkel, Germany","Level 2Senior Executive"
"Bruce Niemeyer","Vice-President, Strategy and Sustainability, Chevron, USA","Level 2Senior Executive"
"Kanji Nishiura","Member of the Board, Executive Vice-President, Mitsubishi Corporation, Japan","Level 2Senior Executive"
"Burke Norton","Senior Managing Director, Co-Head, Perennial Investing, Vista Equity Partners, USA","Level 2Senior Executive"
"Renee Noto","Partner and President, Brightstar Capital Partners, USA","Level 2Senior Executive"
"Chris Nthite","Vice-President, Corporate Affairs, AngloGold Ashanti, South Africa","Level 2Senior Executive"
"Gregory O'Brien","Chief Executive Officer, Americas, JLL, USA","Level 2Senior Executive"
"Derek O'Halloran","Head of Shaping the Future of Digital Economy and New Value Creation, World Economic Forum","Level 2Senior Executive"
"Hutham Olayan","Chairman, Corporate Board, Olayan Group, USA","Level 2Senior Executive"
"Riccardo Orcel","Deputy Chief Executive Officer, VTB Bank, Russian Federation","Level 2Senior Executive"
"Masahiko Oshima","Deputy President, Sumitomo Mitsui Banking, Japan","Level 2Senior Executive"
"Jeroen Ouwehand","Global Senior Partner, Clifford Chance, Netherlands","Level 2Senior Executive"
"Chris Padilla","Vice-President, Government and Regulatory Affairs, IBM, USA","Level 2Senior Executive"
"Anand Padmanabhan","President, Strategic Sales and Geographies, Wipro, India","Level 2Senior Executive"
"Andrew Papachristodoulou","Chief Financial Officer, Angelicoussis Group, Greece","Level 2Senior Executive"
"Oleg Pashaev","Senior Vice-President, Sales and Supplies, LUKOIL, Russian Federation","Level 2Senior Executive"
"Sheila Patel","Chairman, Goldman Sachs Asset Management, Goldman Sachs International, United Kingdom","Level 2Senior Executive"
"Michael Patterson","Managing Partner, HPS Investment Partners, USA","Level 2Senior Executive"
"Simon Patterson","Managing Director, Silver Lake, United Kingdom","Level 2Senior Executive"
"Jaak Peeters","Head, Global Public Health, Johnson & Johnson, USA","Level 2Senior Executive"
"Jonathan Pegler","Head, Supply, Trading and New Ventures, Puma Energy, Singapore","Level 2Senior Executive"
"Louise Pentland","Executive Vice-President, Chief Business Affairs and Legal Officer, PayPal, USA","Level 2Senior Executive"
"Beatriz Perez","Senior Vice-President",""
"Francisco Perez Mackenna","Chief Executive Officer, Luksic Group, Chile","Level 2Senior Executive"
"Glaucimar Peticov","Group Managing Director, Banco Bradesco, Brazil","Level 2Senior Executive"
"Stephanie Plaines","Chief Financial Officer, JLL, USA","Level 2Senior Executive"
"Todd Platt","Chief Executive Officer, Hillwood, USA","Level 2Senior Executive"
"Hans Ploos van Amstel","Chief Financial Officer, Adecco Group, Switzerland","Level 2Senior Executive"
"Sanjay Poonen","Chief Operating Officer, VMware, USA","Level 2Senior Executive"
"Vijay Poonoosamy","Director, International and Public Affairs, QI Group, Malaysia","Level 2Senior Executive"
"Anatoly Popov","Deputy Chairman of the Executive Board, Sberbank, Russian Federation","Level 2Senior Executive"
"Ruth Porat","Senior Vice-President, Chief Financial Officer, Google, USA","Level 2Senior Executive"
"Julio Portalatin","Vice-Chair, Marsh & McLennan, USA","Level 2Senior Executive"
"Dina Powell McCormick","Partner, Goldman Sachs, USA","Level 2Senior Executive"
"Lina Prada","Director, Technology and Innovation, Saudi Basic Industries Corporation (SABIC), Netherlands","Level 2Senior Executive"
"Scott Price","Chief Strategy and Transformation Officer, UPS, USA","Level 2Senior Executive"
"Jonathan Pruzan","Executive Vice-President and Chief Financial Officer, Morgan Stanley, USA","Level 2Senior Executive"
"Anne Pullum","Chief Executive Officer, Western Europe, Willis Towers Watson, United Kingdom","Level 2Senior Executive"
"Michael Punke","Vice-President, Global Public Policy, Amazon Web Services, USA","Level 2Senior Executive"
"Jérôme Pécresse","President and Chief Executive Officer, GE Renewable Energy, France","Level 2Senior Executive"
"George Quinn","Group Chief Financial Officer, Member of the Executive Committee, Zurich Insurance Group, Switzerland","Level 2Senior Executive"
"Karen H. Quintos","Executive Vice-President and Chief Customer Officer, Dell Technologies, USA","Level 2Senior Executive"
"Rima Qureshi","Executive Vice-President and Chief Strategy Officer, Verizon Communications, USA","Level 2Senior Executive"
"Jean Raby","Chief Executive Officer, Natixis Investment Managers, Natixis, France","Level 2Senior Executive"
"David Rafalovsky","Executive Vice-President, Chief Technology Officer, Sberbank, Russian Federation","Level 2Senior Executive"
"Iskra Reic","Executive Vice-President, Europe and Canada, AstraZeneca, Switzerland","Level 2Senior Executive"
"Ren Hongpeng","Vice-President, China Railway Group (CREC), People's Republic of China","Level 2Senior Executive"
"Andreas Renschler","Member of the Board of Management, Volkswagen Group, Germany","Level 2Senior Executive"
"John Riady","Group Executive Director, Lippo Group, Indonesia","Level 2Senior Executive"
"John Ridding","Chief Executive, Financial Times Group, United Kingdom","Level 2Senior Executive"
"Jürgen Rigterink","First Vice-President, European Bank for Reconstruction and Development (EBRD), London","Level 2Senior Executive"
"Christiana Riley","Member of the Management Board, Deutsche Bank, Germany","Level 2Senior Executive"
"Andrew Robertson","President and Chief Executive Officer, BBDO Worldwide, USA","Level 2Senior Executive"
"Paul Robson","President, International, Adobe, United Kingdom","Level 2Senior Executive"
"John F.W. Rogers","Executive Vice-President, Goldman, Sachs & Co., USA","Level 2Senior Executive"
